Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.00,0.31,0.18,0.09,0.09,0.13,-0.07,-0.21,-0.11,0.13,0.08,-0.09,-0.09,0.24,0.10,0.11,0.07,0.02,-0.05,-0.26,0.00,-0.05,0.15,-0.06,0.03,0.13,0.02,0.22,0.07,0.01,0.33
2,0.16,0.16,0.14,-0.07,-0.14,0.13,0.03,-0.14,-0.19,-0.01,0.00,0.19,0.21,0.03,0.21,-0.08,-0.12,0.00,-0.10,0.00,-0.20,-0.01,-0.14,0.11,-0.04,0.07,-0.24,-0.08,-0.06,,
3,0.30,0.15,0.04,0.20,0.07,-0.05,-0.25,0.00,-0.06,0.16,0.15,-0.15,0.18,-0.08,0.28,0.12,0.34,0.15,-0.13,-0.06,-0.06,-0.10,0.13,0.06,0.07,0.33,-0.17,-0.02,0.24,-0.16,-0.03
4,0.28,0.08,0.00,-0.06,0.25,0.18,-0.19,0.26,0.23,0.21,-0.13,0.28,-0.08,-0.01,0.17,0.25,0.36,0.16,-0.09,-0.12,0.15,-0.01,-0.05,-0.08,0.10,0.04,-0.01,0.01,0.14,-0.03,
5,0.19,0.16,0.07,0.04,0.14,-0.14,-0.15,0.23,-0.16,-0.05,-0.19,0.07,-0.08,-0.03,0.04,0.05,-0.07,-0.05,-0.07,0.03,-0.04,-0.06,0.07,0.08,-0.02,-0.13,0.08,0.13,0.07,0.05,0.11
6,0.15,-0.07,0.07,0.11,-0.06,0.05,0.14,-0.09,0.01,0.00,0.13,-0.06,-0.03,0.21,0.00,-0.10,-0.07,0.16,0.13,0.05,-0.09,-0.05,-0.12,-0.03,0.05,0.08,0.04,0.06,0.02,0.08,
7,-0.12,0.08,0.13,0.12,-0.08,0.05,-0.03,-0.02,0.00,0.17,0.02,-0.02,0.05,0.08,-0.08,0.21,0.04,-0.07,0.02,0.03,0.00,-0.02,0.01,-0.03,-0.05,0.14,0.03,0.05,-0.08,0.00,0.07
8,0.13,0.07,-0.10,-0.03,-0.09,0.03,-0.09,-0.01,-0.15,-0.20,-0.07,-0.02,-0.12,-0.03,-0.14,0.08,0.09,-0.05,-0.10,-0.06,0.05,0.12,0.00,-0.07,-0.03,-0.08,-0.03,0.11,0.08,0.02,0.04
9,-0.08,-0.14,-0.07,-0.12,-0.24,-0.18,-0.14,-0.08,-0.12,-0.06,-0.25,-0.10,-0.09,-0.01,-0.19,-0.13,-0.21,-0.11,-0.05,-0.04,-0.07,0.09,0.03,0.00,0.07,0.12,0.08,0.05,0.11,0.06,
10,0.13,0.08,-0.13,-0.07,-0.10,-0.08,-0.05,-0.09,-0.08,0.02,-0.05,-0.07,-0.18,-0.05,-0.08,-0.04,0.12,0.04,0.00,0.04,-0.03,-0.08,-0.05,0.00,0.03,-0.02,0.05,0.18,0.07,0.03,0.02
11,0.24,0.05,0.07,0.04,0.12,0.08,0.02,0.05,0.18,0.06,0.03,0.05,-0.03,0.00,0.06,0.07,0.00,0.08,0.09,0.04,-0.03,-0.02,0.13,0.12,0.10,0.21,0.15,0.03,0.21,0.11,
12,0.16,0.21,0.08,0.00,0.03,0.07,0.13,0.12,-0.03,0.00,-0.07,0.05,0.08,0.03,0.00,-0.05,-0.02,0.14,0.10,0.03,0.11,0.08,0.15,0.03,-0.14,0.21,0.06,0.09,0.07,0.11,0.23
